Approved symbol	Alias symbol	Previous symbol	Ensembl gene ID
ABHD2	LABH2		ENSG00000140526
ABHD3	LABH3		ENSG00000158201
ABHD4	FLJ12816		ENSG00000100439
ABHD5	CGI-58		ENSG00000011198
ABHD5	NCIE2		ENSG00000011198
ABHD6			ENSG00000163686
ABHD8	FLJ11743		ENSG00000127220
ABHD8	MGC14280		ENSG00000127220
ABHD8	MGC2512		ENSG00000127220
ABHD10	FLJ11342		ENSG00000144827
ABHD11	PP1226	WBSCR21	ENSG00000106077
ABHD11-AS2
ABHD12	DKFZP434P106	C20orf22	ENSG00000100997
ABHD12	dJ965G21.2	C20orf22	ENSG00000100997
ABHD12	BEM46L2	C20orf22	ENSG00000100997
ABHD12	ABHD12A	C20orf22	ENSG00000100997
ABHD12B	BEM46L3	C14orf29	ENSG00000131969
ABHD13	bA153I24.2	C13orf6	ENSG00000139826
ABHD13	FLJ14906	C13orf6	ENSG00000139826
ABHD13	BEM46L1	C13orf6	ENSG00000139826
ABHD14A	DKFZP564O243		ENSG00000248487
ABHD14A	DORZ1		ENSG00000248487
ABHD14A-ACY1			ENSG00000114786
ABHD14B	MGC15429		ENSG00000114779
ABHD14B	CIB		ENSG00000114779
ABHD15			ENSG00000168792
ABHD15-AS1	linc-TP53I13		ENSG00000264031
ABHD15-AS1	lnc-TP53I13		ENSG00000264031
ABHD16A	NG26	BAT5	ENSG00000204427
ABHD16A	D6S82E	BAT5	ENSG00000204427
ABHD16B	dJ591C20.1	C20orf135	ENSG00000183260
ABHD17A	MGC5244	C19orf27	ENSG00000129968
ABHD17A	MGC5244	FAM108A1	ENSG00000129968
ABHD17AP1	C1orf47	FAM108A2	ENSG00000198658
ABHD17AP1	C1orf47	ABHD17AP2	ENSG00000198658
ABHD17AP1	C1orf47	FAM108A3	ENSG00000198658
ABHD17AP1	C1orf47	FAM108A11P	ENSG00000198658
ABHD17AP1	C1orf47	FAM108A3P	ENSG00000198658
ABHD17AP3		FAM108A4	ENSG00000250536
ABHD17AP3		FAM108A4P	ENSG00000250536
ABHD17AP4		FAM108A5	ENSG00000229107
ABHD17AP4		FAM108A5P	ENSG00000229107
ABHD17AP5		FAM108A6	ENSG00000263366
ABHD17AP5		FAM108A6P	ENSG00000263366
ABHD17AP6		FAM108A7P	ENSG00000226981
ABHD17AP7		FAM108A8P	ENSG00000260864
ABHD17AP8		FAM108A9P	ENSG00000260540
ABHD17AP9		FAM108A10P	ENSG00000261536
ABHD17B	CGI-67	C9orf77	ENSG00000107362
ABHD17B	CGI-67	FAM108B1	ENSG00000107362
ABHD17C		FAM108C1	ENSG00000136379
ABHD18	FLJ21106	C4orf29	ENSG00000164074
ABI1	E3B1	SSH3BP1	ENSG00000136754
ABI1	ABI-1	SSH3BP1	ENSG00000136754
ABI1P1		SSH3BP1P	ENSG00000271484
ABI1P1		ABI1P	ENSG00000271484
ABI2	ABI-2		ENSG00000138443
ABI2	AIP-1		ENSG00000138443
ABI2	ABI2B		ENSG00000138443
ABI2	AblBP3		ENSG00000138443
ABI2	argBPIA		ENSG00000138443
ABI2	SSH3BP2		ENSG00000138443
ABI3	NESH		ENSG00000108798
ABI3	SSH3BP3		ENSG00000108798
ABI3BP	NESHBP		ENSG00000154175
ABI3BP	DKFZP586L2024		ENSG00000154175
ABI3BP	TARSH		ENSG00000154175
ABITRAM	CG-8	C9orf6	ENSG00000119328
ABITRAM	CG-8	FAM206A	ENSG00000119328
ABITRAM	FLJ20457	C9orf6	ENSG00000119328
ABITRAM	FLJ20457	FAM206A	ENSG00000119328
ABITRAM	Simiate	C9orf6	ENSG00000119328
ABITRAM	Simiate	FAM206A	ENSG00000119328
ABITRAMP1		FAM206BP	ENSG00000251106
ABL1	JTK7	ABL	ENSG00000097007
ABL1	c-ABL	ABL	ENSG00000097007
ABL1	p150	ABL	ENSG00000097007
ABL2	ARG	ABLL	ENSG00000143322
ABLIM1	abLIM	LIMAB1	ENSG00000099204
ABLIM1	abLIM	ABLIM	ENSG00000099204
ABLIM1	limatin	LIMAB1	ENSG00000099204
ABLIM1	limatin	ABLIM	ENSG00000099204
ABLIM2	KIAA1808		ENSG00000163995
ABLIM3	KIAA0843		ENSG00000173210
ABO	A3GALNT		ENSG00000175164
ABO	A3GALT1		ENSG00000175164
ABR	MDB		ENSG00000159842
ABR-AS1			ENSG00000235361
ABRA	STARS		ENSG00000174429
ABRACL	PRO2013	C6orf115	ENSG00000146386
ABRACL	HSPC280	C6orf115	ENSG00000146386
ABRACL	Costars	C6orf115	ENSG00000146386
ABRAXAS1	FLJ13614	CCDC98	ENSG00000163322
ABRAXAS1	FLJ13614	FAM175A	ENSG00000163322
ABRAXAS1	ABRA1	CCDC98	ENSG00000163322
ABRAXAS1	ABRA1	FAM175A	ENSG00000163322
ABRAXAS1	ABRAXAS	CCDC98	ENSG00000163322
ABRAXAS1	ABRAXAS	FAM175A	ENSG00000163322
ABRAXAS1P1			ENSG00000213431
ABRAXAS1P2			ENSG00000253384
ABRAXAS2	Em:AC068896.4	KIAA0157	ENSG00000165660
ABRAXAS2	Em:AC068896.4	FAM175B	ENSG00000165660
ABRAXAS2	ABRO1	KIAA0157	ENSG00000165660
ABRAXAS2	ABRO1	FAM175B	ENSG00000165660
ABT1	Esf2		ENSG00000146109
ABT1P1			ENSG00000250496
ABTB1	BPOZ		ENSG00000114626
ABTB1	EF1ABP		ENSG00000114626
ABTB1	Btb3		ENSG00000114626
ABTB1	BTBD21		ENSG00000114626
ABTB1	BPOZ-2		ENSG00000114626
ABTB2	DKFZP586C1619		ENSG00000166016
ABTB2	BTBD22		ENSG00000166016
ABTB2	ABTB2A		ENSG00000166016
ABTB3	FLJ33957	BTBD11	ENSG00000151136
ABTB3	ABTB2B	BTBD11	ENSG00000151136
ACAA1	Lnc-Myd88		ENSG00000060971
ACAA2	DSAEC		ENSG00000167315
ACAA2P1			ENSG00000233585
ACACA	ACC1	ACAC	ENSG00000278540
ACACA	ACC1	ACC	ENSG00000278540
ACACA	ACC-alpha	ACAC	ENSG00000278540
ACACA	ACC-alpha	ACC	ENSG00000278540
ACACA	ACCA	ACAC	ENSG00000278540
ACACA	ACCA	ACC	ENSG00000278540
ACACA	ACCalpha	ACAC	ENSG00000278540
ACACA	ACCalpha	ACC	ENSG00000278540
ACACA	ACACalpha	ACAC	ENSG00000278540
ACACA	ACACalpha	ACC	ENSG00000278540
ACACA	Acac1	ACAC	ENSG00000278540
ACACA	Acac1	ACC	ENSG00000278540
ACACA	hACC1	ACAC	ENSG00000278540
ACACA	hACC1	ACC	ENSG00000278540
ACACB	HACC275		ENSG00000076555
ACACB	ACC2		ENSG00000076555
ACACB	ACCB		ENSG00000076555
ACACB	ACC-beta		ENSG00000076555
ACACB	ACCbeta		ENSG00000076555
ACACB	ACACbeta		ENSG00000076555
ACAD
ACAD8			ENSG00000151498
ACAD9	NPD002		ENSG00000177646
ACAD9	MGC14452		ENSG00000177646
ACAD9-DT			ENSG00000287110
ACAD10	MGC5601		ENSG00000111271
ACAD11	FLJ12592		ENSG00000240303
ACADL	LCAD		ENSG00000115361
ACADL	ACAD4		ENSG00000115361
ACADM	MCAD		ENSG00000117054
ACADM	MCADH		ENSG00000117054
ACADM	ACAD1		ENSG00000117054
ACADS	SCAD		ENSG00000122971
ACADS	ACAD3		ENSG00000122971
ACADSB	SBCAD		ENSG00000196177
ACADSB	ACAD7		ENSG00000196177
ACADVL	VLCAD		ENSG00000072778
ACADVL	LCACD		ENSG00000072778
ACADVL	ACAD6		ENSG00000072778
ACAN	CSPGCP	MSK16	ENSG00000157766
ACAN	CSPGCP	CSPG1	ENSG00000157766
ACAN	CSPGCP	AGC1	ENSG00000157766
ACAP1	KIAA0050	CENTB1	ENSG00000072818
ACAP2	KIAA0041	CENTB2	ENSG00000114331
ACAP2	CNT-B2	CENTB2	ENSG00000114331
ACAP2-IT1			ENSG00000229325
ACAP3	KIAA1716	CENTB5	ENSG00000131584
ACAT1	THIL	ACAT	ENSG00000075239
ACAT2			ENSG00000120437
ACBD3	GCP60	GOLPH1	ENSG00000182827
ACBD3	GCP60	GOCAP1	ENSG00000182827
ACBD3	PAP7	GOLPH1	ENSG00000182827
ACBD3	PAP7	GOCAP1	ENSG00000182827
ACBD3-AS1	RP11-275I14.4		ENSG00000234478
ACBD4	FLJ13322		ENSG00000181513
ACBD5	DKFZp434A2417		ENSG00000107897
ACBD5	KIAA1996		ENSG00000107897
ACBD6	MGC2404		ENSG00000230124
ACBD7	FLJ38219		ENSG00000176244
ACBD7	bA455B2.2		ENSG00000176244
ACCS	PHACS		ENSG00000110455
ACCS	ACS		ENSG00000110455
ACCSL			ENSG00000205126
ACCSLP1			ENSG00000230570
ACD	Ptop		ENSG00000102977
ACD	Pip1		ENSG00000102977
ACD	Tpp1		ENSG00000102977
ACD	Tint1		ENSG00000102977
ACE	ACE1	DCP1	ENSG00000159640
ACE	CD143	DCP1	ENSG00000159640
ACE2	ACEH		ENSG00000130234
ACE2-DT	GS1-594A7.3		ENSG00000225833
ACE3P			ENSG00000224353
ACER1		ASAH3	ENSG00000167769
ACER2	FLJ41587	ASAH3L	ENSG00000177076
ACER2	ALKCDase2	ASAH3L	ENSG00000177076
ACER2P1			ENSG00000180105
ACER3	FLJ11238	PHCA	ENSG00000078124
ACER3	APHC	PHCA	ENSG00000078124
ACER3-AS1			ENSG00000254988
ACHE		YT	ENSG00000087085
ACIN1	KIAA0670	ACINUS	ENSG00000100813
ACIN1	fSAP152	ACINUS	ENSG00000100813
ACKR1	CCBP1	FY	ENSG00000213088
ACKR1	CCBP1	DARC	ENSG00000213088
ACKR1	GPD	FY	ENSG00000213088
ACKR1	GPD	DARC	ENSG00000213088
ACKR1	Dfy	FY	ENSG00000213088
ACKR1	Dfy	DARC	ENSG00000213088
ACKR1	CD234	FY	ENSG00000213088
ACKR1	CD234	DARC	ENSG00000213088
ACKR2	CCR10	CMKBR9	ENSG00000144648
ACKR2	CCR10	CCBP2	ENSG00000144648
ACKR2	D6	CMKBR9	ENSG00000144648
ACKR2	D6	CCBP2	ENSG00000144648
ACKR2	CCR9	CMKBR9	ENSG00000144648
ACKR2	CCR9	CCBP2	ENSG00000144648
ACKR3	RDC1	CMKOR1	ENSG00000144476
ACKR3	RDC1	CXCR7	ENSG00000144476
ACKR3	GPR159	CMKOR1	ENSG00000144476
ACKR3	GPR159	CXCR7	ENSG00000144476
ACKR4	CCR11	CCRL1	ENSG00000129048
ACKR4	CCBP2	CCRL1	ENSG00000129048
ACKR4	VSHK1	CCRL1	ENSG00000129048
ACKR4	CCX-CKR	CCRL1	ENSG00000129048
ACKR4	PPR1	CCRL1	ENSG00000129048
ACKR4P1	dJ509I19.4	CCRL1P	ENSG00000225415
ACKR4P1	dJ509I19.4	CCRL1P1	ENSG00000225415
ACKR5	hrhAMR	ADMR	ENSG00000166856
ACKR5	hrhAMR	GPR182	ENSG00000166856
ACKR5	G10D	ADMR	ENSG00000166856
ACKR5	G10D	GPR182	ENSG00000166856
ACKR5	AM-R	ADMR	ENSG00000166856
ACKR5	AM-R	GPR182	ENSG00000166856
ACLS
ACLY	ATPCL		ENSG00000131473
ACLY	CLATP		ENSG00000131473
ACLY	ACL		ENSG00000131473
ACMG
ACMSD			ENSG00000153086
ACNATP		BAATP1	ENSG00000227411
ACO1	IRP1	IREB1	ENSG00000122729
ACO1	IREBP	IREB1	ENSG00000122729
ACO2	ACONM		ENSG00000100412
ACO2P1			ENSG00000235485
ACO2P2			ENSG00000235371
ACOD1	CAD	IRG1	ENSG00000102794
ACOT1	ACH2		ENSG00000184227
ACOT1	CTE-1		ENSG00000184227
ACOT1	LACH2		ENSG00000184227
ACOT2	Mte1		ENSG00000119673
ACOT2	ZAP128		ENSG00000119673
ACOT4	FLJ31235		ENSG00000177465
ACOT4	PTE-Ib		ENSG00000177465
ACOT4	PTE2B		ENSG00000177465
ACOT6		C14orf42	ENSG00000205669
ACOT7	BACH		ENSG00000097021
ACOT7	ACH1		ENSG00000097021
ACOT7	ACT		ENSG00000097021
ACOT7	CTE-II		ENSG00000097021
ACOT7	LACH1		ENSG00000097021
ACOT7	MGC1126		ENSG00000097021
ACOT7	hBACH		ENSG00000097021
ACOT8	hACTE-III	PTE1	ENSG00000101473
ACOT8	hTE	PTE1	ENSG00000101473
ACOT8	PTE-2	PTE1	ENSG00000101473
ACOT8	NAP1	PTE1	ENSG00000101473
ACOT9	CGI-16		ENSG00000123130
ACOT9	MT-ACT48		ENSG00000123130
ACOT9	ACATE2		ENSG00000123130
ACOT11	STARD14	THEA	ENSG00000162390
ACOT11	BFIT	THEA	ENSG00000162390
ACOT11	KIAA0707	THEA	ENSG00000162390
ACOT11	BFIT1	THEA	ENSG00000162390
ACOT11	THEM1	THEA	ENSG00000162390
ACOT12	Cach		ENSG00000172497
ACOT12	THEAL		ENSG00000172497
ACOT12	STARD15		ENSG00000172497
ACOT13	HT012	THEM2	ENSG00000112304
ACOX1	PALMCOX		ENSG00000161533
ACOX2	BRCACOX		ENSG00000168306
ACOX2	BRCOX		ENSG00000168306
ACOX2	THCCox		ENSG00000168306
ACOX3			ENSG00000087008
ACOXL	FLJ11042		ENSG00000153093
ACOXL	ACOX4		ENSG00000153093
ACOXL-AS1			ENSG00000204581
